state,county,year,item,budget,source
DC,DC,2021,Department of Consumer and Regulatory Affairs,27879577,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Real Property Tax Appeals Commission,1820763,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Housing and Community Development,20076674,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the People’s Counsel,675674,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Rental Housing Commission,1436426,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the Deputy Mayor for Planning and Economic Development,20036583,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Small and Local Business Development,14930913,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Housing Production Trust Fund Subsidy,0,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Housing Authority Subsidy,144172618,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Homeland Security and Emergency Management Agency,5300120,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Commission on Judicial Disabilities and Tenure,35236,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Judicial Nomination Commission,7569,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Metropolitan Police Department,530831444,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Fire and Emergency Medical Services Department,289279556,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Police Officers’ and Fire Fighters’ Retirement System,94574000,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Police Complaints,2700886,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Corrections Information Council,752934,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Criminal Justice Coordinating Council,1407037,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,District of Columbia National Guard,5014414,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Corrections,157775927,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Victim Services and Justice Grants,36421143,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the Deputy Mayor for Public Safety and Justice,1600547,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Forensic Sciences,28947051,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Administrative Hearings,10457370,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the Chief Medical Examiner,13336201,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,DC Sentencing Commission,1257956,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Criminal Code Reform Commission,379445,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Neighborhood Safety and Engagement,7135445,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Unified Communications,33585084,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,District of Columbia Public Library,67127031,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,District of Columbia Public Schools,902147031,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,District of Columbia Public Charter School Board,0,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,District of Columbia Public Charter Schools,904302807,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the State Superintendent of Education,174249966,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,D.C. State Board of Education,2064546,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,University of the District of Columbia Subsidy Account,85562335,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,District of Columbia State Athletics Commission,1219045,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Non-Public Tuition,60046651,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Special Education Transportation,101184857,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the Deputy Mayor for Education,20100595,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Teachers’ Retirement System,55734000,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office on Asian and Pacific Islander Affairs,918044,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Employees’ Compensation Fund,25826964,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Unemployment Compensation Fund,5480390,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Aging and Community Living,39591849,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Mayor’s Office on Latino Affairs,3880492,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Parks and Recreation,54497295,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Health,84585044,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of the Deputy Mayor for Health and Human Services,1933750,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Human Rights,5782554,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Health Care Finance,835952592,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Not-for-Profit Hospital Corp. Subsidy,15000000,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Human Services,400983643,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department on Disability Services,141172218,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Youth Rehabilitation Services,91823216,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Child and Family Services Agency,163855258,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Behavioral Health,271470816,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Office of Veterans’ Affairs,850030,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,District Department of Transportation,110209049,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Washington Metropolitan Area Transit Commission,157844,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Washington Metropolitan Area Transit Authority,321652161,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Energy and Environment,29723627,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Deputy Mayor for Operations and Infrastructure,1354764,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Public Works,152336735,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of Motor Vehicles,35595426,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Department of For-Hire Vehicles,5895397,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Non-Departmental,1750000,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Repayment of Loans and Interest,865722055,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Master Equipment Lease/Purchase Program,0,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Pay-As-You-Go Capital Fund,14305299,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,District Retiree Health Contribution,48400000,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Workforce Investments,0,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Debt Service - Issuance Costs,6000000,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Commercial Paper Program,11000000,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,Settlements and Judgements,28024759,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
DC,DC,2021,John A. Wilson Building Fund,3806778,https://cfo.dc.gov/sites/default/files/dc/sites/ocfo/publication/attachments/FY%202021%20CSFL.pdf
